nohup: 忽略输入
✅ 检测到已有输出文件，尝试读取已处理结果：/home/cuhk/Documents/Test_lx/Find_Paper/ICRA2024_Title_标题_DOI_Abstract_摘要_关键词.csv
   已同步 0 条已处理结果到当前批次。

--- 待处理总行数: 1760 | 新任务数: 1760 ---
✔ 完成 [842/1760] | 设备: 机械臂 | 标题: A Backdrivable Axisymmetric Kinematically Redundant (6+3)-Degree-of-Freedom Hybr...
✔ 完成 [843/1760] | 设备: 其他 | 标题: RASCAL: A Scalable, High-redundancy Robot for Automated Storage and Retrieval Sy...
✔ 完成 [847/1760] | 设备: 其他 | 标题: Task Allocation in Heterogeneous Multi-Robot Systems Based on Preference-Driven ...
✔ 完成 [846/1760] | 设备: 其他 | 标题: Gaussian Process-Enhanced, External and Internal Convertible Form-Based Control ...
✔ 完成 [845/1760] | 设备: 其他 | 标题: Ricmonk: A Three-Link Brachiation Robot with Passive Grippers for Energy-Efficie...
✔ 完成 [848/1760] | 设备: 其他 | 标题: Behavioral-based circular formation control for robot swarms....
✔ 完成 [849/1760] | 设备: 无人小车 | 标题: Optimization and Evaluation of a Multi Robot Surface Inspection Task Through Par...
✔ 完成 [851/1760] | 设备: 其他 | 标题: Enhancing mmWave Radar Point Cloud via Visual-inertial Supervision....
✔ 完成 [852/1760] | 设备: 其他 | 标题: Influence of Camera-LiDAR Configuration on 3D Object Detection for Autonomous Dr...
✔ 完成 [850/1760] | 设备: 其他 | 标题: Hierarchical Planning for Long-Horizon Multi-Agent Collective Construction....
✔ 完成 [854/1760] | 设备: 无人机 | 标题: SKD-Net: Spectral-based Knowledge Distillation in Low-Light Thermal Imagery for ...
✔ 完成 [857/1760] | 设备: 其他 | 标题: OpenAnnotate3D: Open-Vocabulary Auto-Labeling System for Multi-modal 3D Data....
✔ 完成 [856/1760] | 设备: 无人小车 | 标题: Semi-Supervised Learning for Visual Bird's Eye View Semantic Segmentation....
✔ 完成 [855/1760] | 设备: 无人小车 | 标题: SuperFusion: Multilevel LiDAR-Camera Fusion for Long-Range HD Map Generation....
✔ 完成 [853/1760] | 设备: 其他 | 标题: Chasing Day and Night: Towards Robust and Efficient All-Day Object Detection Gui...
✔ 完成 [858/1760] | 设备: 其他 | 标题: SAM-Event-Adapter: Adapting Segment Anything Model for Event-RGB Semantic Segmen...
✔ 完成 [860/1760] | 设备: 其他 | 标题: PillarGen: Enhancing Radar Point Cloud Density and Quality via Pillar-based Poin...
✔ 完成 [862/1760] | 设备: 其他 | 标题: Synset Boulevard: A Synthetic Image Dataset for VMMR*....
✔ 完成 [859/1760] | 设备: 其他 | 标题: Unsupervised Spike Depth Estimation via Cross-modality Cross-domain Knowledge Tr...
✔ 完成 [861/1760] | 设备: 其他 | 标题: MMA-Net: Multiple Morphology-Aware Network for Automated Cobb Angle Measurement....
✔ 完成 [865/1760] | 设备: 其他 | 标题: SPRINT: Scalable Policy Pre-Training via Language Instruction Relabeling....
✔ 完成 [864/1760] | 设备: 机械臂 | 标题: SLIM: Skill Learning with Multiple Critics....
✔ 完成 [867/1760] | 设备: 机器狗 | 标题: Learning Highly Dynamic Behaviors for Quadrupedal Robots....
✔ 完成 [863/1760] | 设备: 其他 | 标题: IQL-TD-MPC: Implicit Q-Learning for Hierarchical Model Predictive Control....
✔ 完成 [866/1760] | 设备: 其他 | 标题: Effective Representation Learning is More Effective in Reinforcement Learning th...
✔ 完成 [869/1760] | 设备: 机器狗 | 标题: Learning Vision-based Pursuit-Evasion Robot Policies....
✔ 完成 [868/1760] | 设备: 其他 | 标题: TWIST: Teacher-Student World Model Distillation for Efficient Sim-to-Real Transf...
✔ 完成 [872/1760] | 设备: 机械臂 | 标题: Leveraging the efficiency of multi-task robot manipulation via task-evoked plann...
✔ 完成 [871/1760] | 设备: 机械臂 | 标题: Enhancing Task Performance of Learned Simplified Models via Reinforcement Learni...
✔ 完成 [874/1760] | 设备: 机械臂 | 标题: Sim2Real Manipulation on Unknown Objects with Tactile-based Reinforcement Learni...
✔ 完成 [870/1760] | 设备: 机械臂 | 标题: Learning to Catch Reactive Objects with a Behavior Predictor....
✔ 完成 [875/1760] | 设备: 机械臂 | 标题: Synchronized Dual-arm Rearrangement via Cooperative mTSP....
✔ 完成 [877/1760] | 设备: 机器狗 | 标题: DiPPeR: Diffusion-based 2D Path Planner applied on Legged Robots....
✔ 完成 [873/1760] | 设备: 机械臂 | 标题: Generalize by Touching: Tactile Ensemble Skill Transfer for Robotic Furniture As...
✔ 完成 [876/1760] | 设备: 机械臂 | 标题: EquivAct: SIM(3)-Equivariant Visuomotor Policies beyond Rigid Object Manipulatio...
✔ 完成 [878/1760] | 设备: 机械臂 | 标题: Efficient Polynomial Sum-Of-Squares Programming for Planar Robotic Arms....
✔ 完成 [881/1760] | 设备: 机械臂 | 标题: Certifying Bimanual RRT Motion Plans in a Second....
✔ 完成 [883/1760] | 设备: 其他 | 标题: Planning with Learned Subgoals Selected by Temporal Information....
✔ 完成 [882/1760] | 设备: 其他 | 标题: Cross View Capture for Distributed Image Compression with Decoder Side Informati...
✔ 完成 [880/1760] | 设备: 其他 | 标题: ZAPP! Zonotope Agreement of Prediction and Planning for Continuous-Time Collisio...
✔ 完成 [884/1760] | 设备: 其他 | 标题: Neural Potential Field for Obstacle-Aware Local Motion Planning....
✔ 完成 [879/1760] | 设备: 其他 | 标题: PathRL: An End-to-End Path Generation Method for Collision Avoidance via Deep Re...
✔ 完成 [885/1760] | 设备: 其他 | 标题: Unconstrained Model Predictive Control for Robot Navigation under Uncertainty....
✔ 完成 [886/1760] | 设备: 其他 | 标题: Efficient RRT*-based Safety-Constrained Motion Planning for Continuum Robots in ...
✔ 完成 [888/1760] | 设备: 其他 | 标题: Hard Shell, Soft Core: Binary Actuators for Deep-Sea Applications....
✔ 完成 [887/1760] | 设备: 其他 | 标题: Ultrafast capturing in-flight objects with reprogrammable working speed ranges....
✔ 完成 [889/1760] | 设备: 其他 | 标题: Tip-Clutching Winch for High Tensile Force Application with Soft Growing Robots....
✔ 完成 [893/1760] | 设备: 其他 | 标题: Translating Universal Scene Descriptions into Knowledge Graphs for Robotic Envir...
✔ 完成 [891/1760] | 设备: 机械臂 | 标题: Force Estimation at the Bionic Soft Arm's Tool-center-point during the Interacti...
✔ 完成 [890/1760] | 设备: 机械臂 | 标题: Symmetry-aware Reinforcement Learning for Robotic Assembly under Partial Observa...
✔ 完成 [892/1760] | 设备: 其他 | 标题: Field-evaluated Closed Structure Soft Gripper Enhances the Shelf Life of Harvest...
✔ 完成 [894/1760] | 设备: 无人小车 | 标题: Robotic Exploration through Semantic Topometric Mapping....
✔ 完成 [896/1760] | 设备: 其他 | 标题: Mask4Former: Mask Transformer for 4D Panoptic Segmentation....
✔ 完成 [895/1760] | 设备: 其他 | 标题: Open-Fusion: Real-time Open-Vocabulary 3D Mapping and Queryable Scene Representa...
✔ 完成 [897/1760] | 设备: 其他 | 标题: HSPNav: Hierarchical Scene Prior Learning for Visual Semantic Navigation Towards...
✔ 完成 [899/1760] | 设备: 其他 | 标题: A Guided Gaussian-Dirichlet Random Field for Scientist-in-the-Loop Inference in ...
✔ 完成 [900/1760] | 设备: 其他 | 标题: Fine-Tuning Point Cloud Transformers with Dynamic Aggregation....
✔ 完成 [902/1760] | 设备: 其他 | 标题: Cross Domain Policy Transfer with Effect Cycle-Consistency....
✔ 完成 [901/1760] | 设备: 其他 | 标题: MoPA: Multi-Modal Prior Aided Domain Adaptation for 3D Semantic Segmentation....
✔ 完成 [898/1760] | 设备: 其他 | 标题: Belief Scene Graphs: Expanding Partial Scenes with Objects through Computation o...
✔ 完成 [903/1760] | 设备: 其他 | 标题: Parameter-efficient Prompt Learning for 3D Point Cloud Understanding....
✔ 完成 [905/1760] | 设备: 机械臂 | 标题: 6-DoF Grasp Pose Evaluation and Optimization via Transfer Learning from NeRFs....
✔ 完成 [907/1760] | 设备: 其他 | 标题: Shaping Social Robot to Play Games with Human Demonstrations and Evaluative Feed...
✔ 完成 [904/1760] | 设备: 其他 | 标题: BEVUDA: Multi-geometric Space Alignments for Domain Adaptive BEV 3D Object Detec...
✔ 完成 [906/1760] | 设备: 其他 | 标题: Multi-Level Progressive Reinforcement Learning for Control Policy in Physical Si...
✔ 完成 [911/1760] | 设备: 其他 | 标题: Gaze-based Human-Robot Interaction System for Infrastructure Inspections....
✔ 完成 [912/1760] | 设备: 机械臂 | 标题: Facile Integration of Robots into Experimental Orchestration at Scientific User ...
✔ 完成 [910/1760] | 设备: 无人机 | 标题: Human-Centered Autonomy for UAS Target Search....
✔ 完成 [908/1760] | 设备: 机械臂 | 标题: MORPHeus: a Multimodal One-armed Robot-assisted Peeling System with Human Users ...
✔ 完成 [909/1760] | 设备: 其他 | 标题: Language to Map: Topological map generation from natural language path instructi...
✔ 完成 [913/1760] | 设备: 其他 | 标题: SEQUEL: Semi-Supervised Preference-based RL with Query Synthesis via Latent Inte...
✔ 完成 [915/1760] | 设备: 其他 | 标题: JaywalkerVR: A VR System for Collecting Safety-Critical Pedestrian-Vehicle Inter...
✔ 完成 [914/1760] | 设备: 其他 | 标题: Learning When to Ask for Help: Efficient Interactive Navigation via Implicit Unc...
✔ 完成 [918/1760] | 设备: 机械臂 | 标题: Enabling passivity for Cartesian workspace restrictions....
✔ 完成 [917/1760] | 设备: 机械臂 | 标题: A Planar Compliant Contact Control Applied to Multi-dimensional Elastic Gripper ...
✔ 完成 [916/1760] | 设备: 其他 | 标题: Human Preference-aware Rebalancing and Charging for Shared Electric Micromobilit...
✔ 完成 [919/1760] | 设备: 其他 | 标题: X-Tacformer : Spatio-tempral Attention Model for Tactile Recognition....
✔ 完成 [921/1760] | 设备: 其他 | 标题: Prosthetic Upper-Limb Sensory Enhancement (PULSE): a Dual Haptic Feedback Device...
✔ 完成 [920/1760] | 设备: 其他 | 标题: The Joint-Space Reconstruction of Human Fingers by using a Highly Under-Actuated...
✔ 完成 [923/1760] | 设备: 其他 | 标题: Implementation and Assessment of an Augmented Training Curriculum for Surgical R...
✔ 完成 [922/1760] | 设备: 其他 | 标题: Point-Wise Vibration Pattern Production via a Sparse Actuator Array for Surface ...
✔ 完成 [924/1760] | 设备: 其他 | 标题: Fingertip Ultrasonic Array for Tactile Rendering....
✔ 完成 [928/1760] | 设备: 机器狗 | 标题: Two-Stage Learning of Highly Dynamic Motions with Rigid and Articulated Soft Qua...
✔ 完成 [925/1760] | 设备: 其他 | 标题: Active Exploration for Real-Time Haptic Training....
✔ 完成 [930/1760] | 设备: 机器狗 | 标题: Learning Agile Bipedal Motions on a Quadrupedal Robot....
✔ 完成 [926/1760] | 设备: 其他 | 标题: A Multi-Stable Curved Line Shape Display....
✔ 完成 [929/1760] | 设备: 机器狗 | 标题: Expert Composer Policy: Scalable Skill Repertoire for Quadruped Robots....
✔ 完成 [927/1760] | 设备: 机器狗 | 标题: Manipulator as a Tail: Promoting Dynamic Stability for Legged Locomotion....
✔ 完成 [932/1760] | 设备: 机器狗 | 标题: Learning Quadrupedal Locomotion with Impaired Joints Using Random Joint Masking....
✔ 完成 [931/1760] | 设备: 机器狗 | 标题: LAGOON: Language-Guided Motion Control....
✔ 完成 [933/1760] | 设备: 机器狗 | 标题: Multi-Task Learning of Active Fault-Tolerant Controller for Leg Failures in Quad...
✔ 完成 [934/1760] | 设备: 无人小车 | 标题: Motion planning for 4WS vehicle with autonomous selection of steering modes via ...
✔ 完成 [935/1760] | 设备: 机械臂 | 标题: On the Performance of Jerk-Constrained Time-Optimal Trajectory Planning for Indu...
✔ 完成 [936/1760] | 设备: 其他 | 标题: Symmetric Stair Preconditioning of Linear Systems for Parallel Trajectory Optimi...
✔ 完成 [940/1760] | 设备: 其他 | 标题: Towards a Novel Soft Magnetic Laparoscope for Single Incision Laparoscopic Surge...
✔ 完成 [939/1760] | 设备: 机械臂 | 标题: A Distributed Processing Approach for Smooth Task Transitioning in Strict Hierar...
✔ 完成 [937/1760] | 设备: 机械臂 | 标题: MPCGPU: Real-Time Nonlinear Model Predictive Control through Preconditioned Conj...
✔ 完成 [938/1760] | 设备: 其他 | 标题: Generalizing Trajectory Retiming to Quadratic Objective Functions....
✔ 完成 [941/1760] | 设备: 其他 | 标题: Magnetic-Guided Flexible Origami Robot toward Long-Term Phototherapy of H. pylor...
✔ 完成 [942/1760] | 设备: 机械臂 | 标题: Simultaneous Estimation of Shape and Force along Highly Deformable Surgical Mani...
✔ 完成 [943/1760] | 设备: 机械臂 | 标题: A Semi-Autonomous Data-Driven Shared Control Framework for Robotic Manipulation ...
✔ 完成 [944/1760] | 设备: 机械臂 | 标题: Design and evaluation of a modular robotic system for microsurgery....
✔ 完成 [945/1760] | 设备: 机械臂 | 标题: Analyzing Accessibility in Robot-Assisted Vitreoretinal Surgery: Integrating Eye...
✔ 完成 [949/1760] | 设备: 其他 | 标题: Online Data-Driven Safety Certification for Systems Subject to Unknown Disturban...
✔ 完成 [946/1760] | 设备: 其他 | 标题: Fault Tolerant Neural Control Barrier Functions for Robotic Systems under Sensor...
✔ 完成 [948/1760] | 设备: 其他 | 标题: Achieving Autonomous Cloth Manipulation with Optimal Control via Differentiable ...
❌ 错误: API 或解析失败: Invalid \escape: line 5 column 900 (char 1084) (标题: A novel algorithmic approach t...)
✔ 完成 [947/1760] | 设备: 其他 | 标题: A novel algorithmic approach to obtaining maneuverable control-invariant sets....
✔ 完成 [953/1760] | 设备: 其他 | 标题: Boundary Factors for Seamless State Estimation between Autonomous Underwater Doc...
✔ 完成 [950/1760] | 设备: 人形机器人 | 标题: Towards Standardized Disturbance Rejection Testing of Legged Robot Locomotion wi...
✔ 完成 [951/1760] | 设备: 其他 | 标题: Detecting and Mitigating System-Level Anomalies of Vision-Based Controllers....
✔ 完成 [954/1760] | 设备: 其他 | 标题: Vision-Based Water Clearance Determination in Maritime Environment....
✔ 完成 [952/1760] | 设备: 其他 | 标题: An Open-Source Solution for Fast and Accurate Underwater Mapping with a Low-Cost...
✔ 完成 [955/1760] | 设备: 其他 | 标题: Adaptive Landmark Color for AUV Docking in Visually Dynamic Environments....
✔ 完成 [958/1760] | 设备: 其他 | 标题: Underwater Volumetric Mapping using Imaging Sonar and Free-Space Modeling Approa...
✔ 完成 [956/1760] | 设备: 其他 | 标题: An Online Self-calibrating Refractive Camera Model with Application to Underwate...
✔ 完成 [959/1760] | 设备: 无人机 | 标题: Light-weight approach for safe landing in populated areas....
✔ 完成 [957/1760] | 设备: 其他 | 标题: Enhancing Visual Inertial SLAM with Magnetic Measurements....
✔ 完成 [960/1760] | 设备: 无人机 | 标题: Design and Evaluation of Motion Planners for Quadrotors in Environments with Var...
✔ 完成 [961/1760] | 设备: 无人机 | 标题: An NMPC Framework for Tracking and Releasing a Cable-suspended Load to a Ground ...
✔ 完成 [963/1760] | 设备: 无人机 | 标题: Perception-and-Energy-aware Motion Planning for UAV using Learning-based Model u...
✔ 完成 [964/1760] | 设备: 无人机 | 标题: Representing On-Orbit Rendezvous and Proximity Operations with Fully-Actuated Mu...
✔ 完成 [962/1760] | 设备: 无人机 | 标题: On Experimental Emulation of Printability and Fleet Aware Generic Mesh Decomposi...
✔ 完成 [966/1760] | 设备: 其他 | 标题: Visual Localization in Repetitive and Symmetric Indoor Parking Lots using 3D Key...
✔ 完成 [969/1760] | 设备: 其他 | 标题: 17-Point Algorithm Revisited: Toward a More Accurate Way....
✔ 完成 [965/1760] | 设备: 无人机 | 标题: On-device Self-supervised Learning of Visual Perception Tasks aboard Hardware-li...
✔ 完成 [970/1760] | 设备: 其他 | 标题: Lightweight Ground Texture Localization....
✔ 完成 [967/1760] | 设备: 其他 | 标题: VOLoc: Visual Place Recognition by Querying Compressed Lidar Map....
✔ 完成 [972/1760] | 设备: 无人小车 | 标题: Night-Rider: Nocturnal Vision-aided Localization in Streetlight Maps Using Invar...
✔ 完成 [971/1760] | 设备: 其他 | 标题: NeRF-VINS: A Real-time Neural Radiance Field Map-based Visual-Inertial Navigatio...
✔ 完成 [968/1760] | 设备: 其他 | 标题: VPRTempo: A Fast Temporally Encoded Spiking Neural Network for Visual Place Reco...
✔ 完成 [973/1760] | 设备: 其他 | 标题: ONeK-SLAM: A Robust Object-level Dense SLAM Based on Joint Neural Radiance Field...
✔ 完成 [975/1760] | 设备: 其他 | 标题: Effectively Detecting Loop Closures using Point Cloud Density Maps....
✔ 完成 [974/1760] | 设备: 其他 | 标题: A Two-step Nonlinear Factor Sparsification for Scalable Long-term SLAM Backend....
✔ 完成 [976/1760] | 设备: 无人小车 | 标题: Radar-Only Odometry and Mapping for Autonomous Vehicles....
✔ 完成 [977/1760] | 设备: 其他 | 标题: IPC: Incremental Probabilistic Consensus-based Consistent Set Maximization for S...
✔ 完成 [979/1760] | 设备: 其他 | 标题: VOOM: Robust Visual Object Odometry and Mapping using Hierarchical Landmarks....
✔ 完成 [978/1760] | 设备: 其他 | 标题: Generalized Correspondence Matching via Flexible Hierarchical Refinement and Pat...
✔ 完成 [982/1760] | 设备: 机器狗 | 标题: VAPOR: Legged Robot Navigation in Unstructured Outdoor Environments using Offlin...
✔ 完成 [981/1760] | 设备: 机械臂 | 标题: Constant-time Motion Planning with Anytime Refinement for Manipulation....
✔ 完成 [983/1760] | 设备: 其他 | 标题: EDMP: Ensemble-of-costs-guided Diffusion for Motion Planning....
✔ 完成 [984/1760] | 设备: 其他 | 标题: Approximating Robot Configuration Spaces with few Convex Sets using Clique Cover...
✔ 完成 [980/1760] | 设备: 其他 | 标题: Lite-SVO: Towards A Lightweight Self-Supervised Semantic Visual Odometry Exploit...
✔ 完成 [986/1760] | 设备: 无人机 | 标题: Non-singular Fast Terminal Adaptive Visual Tracking Control with Reduced Tuning ...
✔ 完成 [985/1760] | 设备: 其他 | 标题: Asymptotically-Optimal Multi-Robot Visibility-Based Pursuit-Evasion....
✔ 完成 [987/1760] | 设备: 机械臂 | 标题: Smooth Computation without Input Delay: Robust Tube-Based Model Predictive Contr...
✔ 完成 [988/1760] | 设备: 其他 | 标题: Nullspace Adaptive Model-Based Trajectory-Tracking Control for a 6-DOF Underwate...
✔ 完成 [990/1760] | 设备: 其他 | 标题: Risk-Sensitive Extended Kalman Filter....
✔ 完成 [991/1760] | 设备: 其他 | 标题: Global Terminal Sliding Mode Control of Tethered Satellites Formation with Chatt...
✔ 完成 [993/1760] | 设备: 无人机 | 标题: Attitude Control for Morphing Quadrotor through Model Predictive Control with Co...
✔ 完成 [989/1760] | 设备: 无人小车 | 标题: Adaptive Planning and Control with Time-Varying Tire Models for Autonomous Racin...
✔ 完成 [995/1760] | 设备: 其他 | 标题: Synthesis of Temporally-Robust Policies for Signal Temporal Logic Tasks using Re...
✔ 完成 [994/1760] | 设备: 无人小车 | 标题: NNgTL: Neural Network Guided Optimal Temporal Logic Task Planning for Mobile Rob...
✔ 完成 [996/1760] | 设备: 机械臂 | 标题: A Deep Learning Framework for Non-Symmetrical Coulomb Friction Identification of...
✔ 完成 [992/1760] | 设备: 其他 | 标题: Model Predictive Control for an Autonomous Underwater Robot with Fully Vectored ...
✔ 完成 [998/1760] | 设备: 无人机 | 标题: Dynamic Multi-Agent Deep Deterministic Policy Gradient for Autonomous Navigation...
✔ 完成 [997/1760] | 设备: 其他 | 标题: RIDER: Reinforcement-Based Inferred Dynamics via Emulating Rehearsals for Robot ...
✔ 完成 [1000/1760] | 设备: 其他 | 标题: Leveraging Tethers for Distributed Formation Control of Simple Robots....
✔ 完成 [1001/1760] | 设备: 其他 | 标题: Sensor-based Multi-Robot Coverage Control with Spatial Separation in Unstructure...
✔ 完成 [1006/1760] | 设备: 其他 | 标题: LiDAR-camera Calibration using Intensity Variance Cost....
✔ 完成 [999/1760] | 设备: 机械臂 | 标题: FogROS2-LS: A Location-Independent Fog Robotics Framework for Latency Sensitive ...
✔ 完成 [1005/1760] | 设备: 其他 | 标题: HabitatDyn 2.0: Dataset for Spatial Anticipation and Dynamic Object Localization...
✔ 完成 [1002/1760] | 设备: 其他 | 标题: JSTR: Joint Spatio-Temporal Reasoning for Event-based Moving Object Detection....
✔ 完成 [1003/1760] | 设备: 其他 | 标题: AYDIV: Adaptable Yielding 3D Object Detection via Integrated Contextual Vision T...
✔ 完成 [1004/1760] | 设备: 其他 | 标题: RadarCam-Depth: Radar-Camera Fusion for Depth Estimation with Learned Metric Sca...
✔ 完成 [1011/1760] | 设备: 无人小车 | 标题: Action-By-Detection: Efficient Forklift Action Detection for Autonomous Mobile R...
✔ 完成 [1010/1760] | 设备: 机械臂 | 标题: Sim-to-real Object Pose Estimation for Random Bin Picking....
✔ 完成 [1009/1760] | 设备: 其他 | 标题: Realtime Robust Shape Estimation of Deformable Linear Object....
✔ 完成 [1008/1760] | 设备: 其他 | 标题: Saturation-Aware Angular Velocity Estimation: Extending the Robustness of SLAM t...
✔ 完成 [1007/1760] | 设备: 其他 | 标题: SRFNet: Monocular Depth Estimation with Fine-grained Structure via Spatial Relia...
✔ 完成 [1015/1760] | 设备: 其他 | 标题: CVAE-SM: A Conditional Variational Autoencoder with Style Modulation for Efficie...
✔ 完成 [1014/1760] | 设备: 其他 | 标题: Procedure Recognition by Knowledge-Driven Segmentation in Robotic-Assisted Vitre...
✔ 完成 [1012/1760] | 设备: 其他 | 标题: RIDE: Self-Supervised Learning of Rotation-Equivariant Keypoint Detection and In...
✔ 完成 [1016/1760] | 设备: 其他 | 标题: Weighting Online Decision Transformer with Episodic Memory for Offline-to-Online...
✔ 完成 [1013/1760] | 设备: 其他 | 标题: LLM-Assisted Multi-Teacher Continual Learning for Visual Question Answering in R...
✔ 完成 [1019/1760] | 设备: 其他 | 标题: AdaptAUG: Adaptive Data Augmentation Framework for Multi-Agent Reinforcement Lea...
✔ 完成 [1020/1760] | 设备: 无人机 | 标题: HyperPPO: A scalable method for finding small policies for robotic control....
✔ 完成 [1021/1760] | 设备: 机器狗 | 标题: Grow Your Limits: Continuous Improvement with Real-World RL for Robotic Locomoti...
✔ 完成 [1018/1760] | 设备: 机器狗 | 标题: Barrier Functions Inspired Reward Shaping for Reinforcement Learning....
✔ 完成 [1022/1760] | 设备: 机器狗 | 标题: High-Dimensional Controller Tuning through Latent Representations....
✔ 完成 [1017/1760] | 设备: 其他 | 标题: COMPOSER: Scalable and Robust Modular Policies for Snake Robots....
✔ 完成 [1023/1760] | 设备: 机械臂 | 标题: Toward Optimal Tabletop Rearrangement with Multiple Manipulation Primitives....
✔ 完成 [1024/1760] | 设备: 机械臂 | 标题: ReorientDiff: Diffusion Model based Reorientation for Object Manipulation....
✔ 完成 [1025/1760] | 设备: 机械臂 | 标题: ForceSight: Text-Guided Mobile Manipulation with Visual-Force Goals....
✔ 完成 [1026/1760] | 设备: 其他 | 标题: Unknown Object Retrieval in Confined Space through Reinforcement Learning with T...
✔ 完成 [1033/1760] | 设备: 无人小车 | 标题: Active Collision-Based Navigation for Wheeled Robots....
✔ 完成 [1027/1760] | 设备: 机械臂 | 标题: The Grasp Loop Signature: A Topological Representation for Manipulation Planning...
✔ 完成 [1028/1760] | 设备: 其他 | 标题: Articulated Object Manipulation with Coarse-to-fine Affordance for Mitigating th...
✔ 完成 [1032/1760] | 设备: 无人小车 | 标题: Gaussian Process-based Traversability Analysis for Terrain Mapless Navigation....
✔ 完成 [1029/1760] | 设备: 机械臂 | 标题: Improved M4M: Faster and Richer Planning for Manipulation Among Movable Objects ...
✔ 完成 [1030/1760] | 设备: 机械臂 | 标题: Preprocessing-based Kinodynamic Motion Planning Framework for Intercepting Proje...
✔ 完成 [1031/1760] | 设备: 其他 | 标题: MIM: Indoor and Outdoor Navigation in Complex Environments Using Multi-Layer Int...
✔ 完成 [1036/1760] | 设备: 其他 | 标题: Bio-Inspired Pupal-Mode Actuator with Ultra-Crossing Capability for Soft Robots....
✔ 完成 [1034/1760] | 设备: 其他 | 标题: Graph-based 3D Collision-distance Estimation Network with Probabilistic Graph Re...
✔ 完成 [1035/1760] | 设备: 机械臂 | 标题: Design and validation of slender extensible continuum robot for solar wing re-un...
✔ 完成 [1040/1760] | 设备: 其他 | 标题: On the Overconfidence Problem in Semantic 3D Mapping....
✔ 完成 [1042/1760] | 设备: 其他 | 标题: Complementary Random Masking for RGB-Thermal Semantic Segmentation....
✔ 完成 [1044/1760] | 设备: 其他 | 标题: BroadBEV: Collaborative LiDAR-camera Fusion for Broad-sighted Bird's Eye View Ma...
✔ 完成 [1038/1760] | 设备: 其他 | 标题: SG-RoadSeg: End-to-End Collision-Free Space Detection Sharing Encoder Representa...
✔ 完成 [1041/1760] | 设备: 无人小车 | 标题: Complementing Onboard Sensors with Satellite Maps: A New Perspective for HD Map ...
✔ 完成 [1039/1760] | 设备: 其他 | 标题: Noisy Few-shot 3D Point Cloud Scene Segmentation....
✔ 完成 [1043/1760] | 设备: 无人小车 | 标题: Collaborative Dynamic 3D Scene Graphs for Automated Driving....
✔ 完成 [1037/1760] | 设备: 机械臂 | 标题: Compliant Robotic Gripper with Integrated Ripeness Sensing for Blackberry Harves...
✔ 完成 [1046/1760] | 设备: 其他 | 标题: ATPPNet: Attention based Temporal Point cloud Prediction Network....
✔ 完成 [1045/1760] | 设备: 其他 | 标题: AGRNav: Efficient and Energy-Saving Autonomous Navigation for Air-Ground Robots ...
✔ 完成 [1050/1760] | 设备: 其他 | 标题: Diffusion-Based Point Cloud Super-Resolution for mmWave Radar Data....
✔ 完成 [1051/1760] | 设备: 其他 | 标题: Visual Noun Modifiers: The Problem of Binding Visual and Linguistic Cues....
✔ 完成 [1048/1760] | 设备: 无人机 | 标题: CrackNex: a Few-shot Low-light Crack Segmentation Model Based on Retinex Theory ...
✔ 完成 [1054/1760] | 设备: 机械臂 | 标题: Usability Evaluation Framework for Close-Proximity Collaboration With Large Indu...
✔ 完成 [1052/1760] | 设备: 其他 | 标题: Cycle-Correspondence Loss: Learning Dense View-Invariant Visual Features from Un...
✔ 完成 [1053/1760] | 设备: 其他 | 标题: Closing the Visual Sim-to-Real Gap with Object-Composable NeRFs....
✔ 完成 [1047/1760] | 设备: 其他 | 标题: Transformer-CNN Cohort: Semi-supervised Semantic Segmentation by the Best of Bot...
✔ 完成 [1056/1760] | 设备: 其他 | 标题: Design of Two Morphing Robot Surfaces and Results from a User Study On What Peop...
✔ 完成 [1055/1760] | 设备: 其他 | 标题: Language-guided Active Sensing of Confined, Cluttered Environments via Object Re...
✔ 完成 [1059/1760] | 设备: 其他 | 标题: A Bayesian Optimization Framework for the Automatic Tuning of MPC-based Shared C...
✔ 完成 [1049/1760] | 设备: 其他 | 标题: FBPT: A Fully Binary Point Transformer....
✔ 完成 [1057/1760] | 设备: 机械臂 | 标题: Automatic Trust Estimation From Movement Data in Industrial Human-Robot Collabor...
✔ 完成 [1065/1760] | 设备: 其他 | 标题: Automatic Captioning based on Visible and Infrared Images....
✔ 完成 [1058/1760] | 设备: 无人小车 | 标题: A Dual Closed-Loop Control Strategy for Human-Following Robots Respecting Social...
✔ 完成 [1062/1760] | 设备: 机械臂 | 标题: Interactive Continual Learning Architecture for Long-Term Personalization of Hom...
✔ 完成 [1063/1760] | 设备: 其他 | 标题: Human-Robot Interactive Creation of Artistic Portrait Drawings....
✔ 完成 [1061/1760] | 设备: 其他 | 标题: LaCE-LHMP: Airflow Modelling-Inspired Long-Term Human Motion Prediction By Enhan...
✔ 完成 [1064/1760] | 设备: 其他 | 标题: High stimuli virtual reality training for a brain controlled robotic wheelchair....
✔ 完成 [1060/1760] | 设备: 其他 | 标题: Recency Bias in Task Performance History Affects Perceptions of Robot Competence...
✔ 完成 [1067/1760] | 设备: 其他 | 标题: Fast Wheeled Driving to Legged Leaping onto a Step in a Leg-Wheel Transformable ...
✔ 完成 [1068/1760] | 设备: 机器狗 | 标题: Body Velocity Estimation in a Leg-Wheel Transformable Robot without A Priori Kno...
